,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM,Uncorrected
84,2024-01-22 05:49:00,22.562722,37.915992,0.26041461090937984,0.2388131454329667,0.2572,0.1742
85,2024-01-22 05:49:01,22.505422,37.909686,0.254575864038067,0.23293399585200225,0.2512,0.1682
86,2024-01-22 05:49:02,22.44812,37.903382,0.2642899728958601,0.24256940329740267,0.2606,0.1776
87,2024-01-22 05:49:03,22.390818,37.897079,0.26498087274034793,0.24323752776969076,0.2612,0.1782
88,2024-01-22 05:49:04,22.333516,37.890779,0.2732414984785293,0.25150801890943647,0.2695,0.1865
89,2024-01-22 05:49:05,22.276214,37.884481,0.255049582119787,0.23331407715736804,0.2513,0.1683
90,2024-01-22 05:49:06,22.218911,37.878185,0.22920220937897784,0.2073282411266963,0.2249,0.1419
91,2024-01-22 05:49:07,22.161608,37.87189,0.2512638890048139,0.22934941118206745,0.2468,0.1638
92,2024-01-22 05:49:08,22.104305,37.865598,0.24165715772653001,0.21974436645637518,0.2372,0.1542
93,2024-01-22 05:49:09,22.047001,37.859307,0.2622652064477151,0.2403503985336182,0.2578,0.1748
94,2024-01-22 05:49:11,21.875087,37.840446,0.20842499801951606,0.1862947653907534,0.2031,0.1201
95,2024-01-22 05:49:16,21.588558,37.809049,0.2450782734447497,0.22285952604080733,0.2394,0.1564
96,2024-01-22 05:49:17,21.531251,37.802775,0.21283012795383482,0.19054827724958529,0.2069,0.1239
97,2024-01-22 05:49:19,21.416636,37.790233,0.2031166416293922,0.18086322544330188,0.1973,0.1143
98,2024-01-22 05:49:21,21.302019,37.777697,0.16500342233772408,0.14257793010089925,0.1585,0.0755
99,2024-01-22 05:49:23,21.187402,37.76517,0.07802970986710912,0.0555725757116195,0.0714,-0.0116
100,2024-01-22 05:49:25,21.072783,37.752649,0.09074854266407592,0.06813635711812766,0.0835,0.0005
101,2024-01-22 05:49:28,20.843541,37.727629,0.043434610890227834,0.02062547235139099,0.0364,-0.0476
102,2024-01-22 05:49:29,20.786229,37.721378,0.14941872038484807,0.12658850782705885,0.1423,0.0583
103,2024-01-22 05:49:30,20.728918,37.715129,0.13592766627416625,0.11309521228285171,0.1288,0.0448
104,2024-01-22 05:49:31,20.671606,37.708882,0.15429514287262935,0.13144578231064435,0.1471,0.0631
