,Time,Lat,Lon,MIC Unscaled,MIC,RADS GIM
308,2024-01-22 08:31:43,-39.983716,14.856179,0.010443284287938281,-0.011052359045273796,-0.0012000000000000344
309,2024-01-22 08:31:44,-40.041961,14.836904,0.010247402610743583,-0.011229494344747348,-0.0013000000000000234
310,2024-01-22 08:31:45,-40.100204,14.817604,0.010248327270617752,-0.01122875047043903,-0.0013000000000000234
311,2024-01-22 08:31:46,-40.158443,14.798277,0.010162192054880143,-0.011298044895145881,-0.0012999999999999956
312,2024-01-22 08:31:47,-40.21668,14.778925,0.010074944008949205,-0.011387786148899792,-0.0014000000000000123
313,2024-01-22 08:31:48,-40.274914,14.759547,0.010075841151614084,-0.011387064411753023,-0.0014000000000000123
314,2024-01-22 08:31:49,-40.333145,14.740143,0.009881540209707607,-0.011543376459898724,-0.0014000000000000123
315,2024-01-22 08:31:50,-40.391373,14.720712,0.009782442092214572,-0.01164265090962363,-0.0015000000000000013
316,2024-01-22 08:31:51,-40.449599,14.701256,0.009739962884341535,-0.011676824763445892,-0.0014000000000000123
317,2024-01-22 08:31:52,-40.507822,14.681773,0.009740865280742583,-0.011676098799751122,-0.0014000000000000123
318,2024-01-22 08:31:53,-40.566041,14.662264,0.009622009140235699,-0.01179126826786503,-0.0015000000000000013
319,2024-01-22 08:31:54,-40.624258,14.642728,0.00964829934161232,-0.011770118214844028,-0.0015000000000000013
320,2024-01-22 08:31:55,-40.682472,14.623166,0.009548785522894288,-0.0118697270896585,-0.0016000000000000458
321,2024-01-22 08:31:56,-40.740684,14.603577,0.009527115165124556,-0.011887160551245446,-0.0016000000000000458
322,2024-01-22 08:31:57,-40.798892,14.583961,0.009462445271019804,-0.011939186462708862,-0.0016000000000000458
323,2024-01-22 08:31:58,-40.857097,14.564319,0.009320456332691018,-0.012072965902402977,-0.0016999999999999793
324,2024-01-22 08:31:59,-40.9153,14.544649,0.009250919429749982,-0.012128907245835263,-0.0017000000000000348
325,2024-01-22 08:32:00,-40.9735,14.524952,0.009124544173572224,-0.012250125724104444,-0.0018000000000000238
326,2024-01-22 08:32:01,-41.031696,14.505228,0.008935356175801434,-0.012402324489205419,-0.0018000000000000238
