                    Time        Lat         Lon  Unscaled      IMIC RADS GIM
134  2016-05-13 00:50:00  -9.646212  135.943489  0.000229 -0.007753   0.0035
135  2016-05-13 04:24:00  -51.85026   72.840383 -0.012409 -0.016898  -0.0112
136  2016-05-13 05:04:00  15.163565  251.547456 -0.003438 -0.008488  -0.0075
137  2016-05-13 06:05:00 -53.267236   46.899959  -0.01325 -0.016849  -0.0059
138  2016-05-13 06:44:00  13.907089  226.591554 -0.002048 -0.009048   -0.006
139  2016-05-13 08:25:00  12.417573  201.686383 -0.009055 -0.017438  -0.0075
140  2016-05-13 10:06:00  10.693387  176.831806 -0.012502 -0.018567  -0.0025
141  2016-05-13 11:03:00 -36.250831  337.693495  -0.00428 -0.008943  -0.0023
142  2016-05-13 11:46:00   8.143389  152.160358  0.000192 -0.007928  -0.0017
143  2016-05-13 12:34:00  -1.102379  321.123346  0.001938 -0.008962   0.0004
144  2016-05-13 14:29:00 -50.338865  282.056624 -0.006099 -0.009583   -0.003
145  2016-05-13 16:08:00 -42.100199  260.054186 -0.003733 -0.007882   0.0013
146  2016-05-13 17:50:00 -45.040983  233.740051  0.005556  0.001032   0.0084
147  2016-05-13 19:25:00 -23.925913  214.849733 -0.007869 -0.018621  -0.0085
148  2016-05-13 21:02:00   -9.59309  192.994008  -0.00167 -0.017102   0.0051
149  2016-05-13 22:04:00  50.418418  348.394273 -0.005614 -0.012411  -0.0039
150  2016-05-13 22:40:00  -2.082136  169.425164 -0.000188 -0.015931   -0.004
151  2016-05-13 23:35:00  16.787952  333.450899  -0.00109 -0.005751   0.0028
152  2016-05-14 00:25:00 -16.068282  141.013902  0.001833 -0.006695   0.0044
153  2016-05-14 01:22:00  36.015342  303.152736 -0.005352 -0.009203   0.0014
154  2016-05-14 02:10:00 -30.637428  112.098622 -0.001001 -0.007507  -0.0024
155  2016-05-14 04:37:00  11.435862  258.950356  0.000858 -0.009752  -0.0098
156  2016-05-14 06:18:00  13.839959  233.152761 -0.006829 -0.016582  -0.0147
157  2016-05-14 07:59:00     11.404  208.463429  0.000196 -0.010045   0.0012
158  2016-05-14 09:40:00  11.569765  183.178225 -0.003514 -0.011087   0.0079
159  2016-05-14 10:41:00 -50.980244  338.800537 -0.004939 -0.009128  -0.0041
160  2016-05-14 11:20:00    9.07893  158.495489  0.004713 -0.004692   0.0039
161  2016-05-14 12:08:00   0.503838  328.024541  0.003087  -0.01221  -0.0067
162  2016-05-14 13:07:00  31.468789   127.74783  0.002595 -0.005148   0.0034
163  2016-05-14 15:37:00 -26.834044  271.145828 -0.000092 -0.007397   0.0048
164  2016-05-14 17:25:00 -48.563669  238.881231 -0.003455 -0.007578  -0.0007
165  2016-05-14 18:09:00  26.364258   53.378925  0.002192 -0.003305    0.004
166  2016-05-14 19:01:00 -33.422546  218.844399 -0.009003 -0.015047  -0.0041
167  2016-05-14 20:37:00 -13.598144   198.62622 -0.004449 -0.017954   0.0023
168  2016-05-14 22:16:00  -8.218624  174.603099 -0.000315 -0.014961  -0.0086
169  2016-05-14 23:09:00  17.074436  339.928787 -0.009389 -0.015163  -0.0067
170  2016-05-14 23:57:00  -8.152083   149.37135  0.007607  -0.00251   0.0059
171  2016-05-15 00:52:00  25.023273  312.737179  -0.00472 -0.012817   -0.006
172  2016-05-15 01:40:00 -14.808985  122.606681   0.00556 -0.003204   0.0074
173  2016-05-15 05:52:00  13.597514  239.754372  0.006993 -0.002072  -0.0007
174  2016-05-15 07:32:00  10.983846  215.104829  0.006778 -0.003123   0.0078
175  2016-05-15 09:14:00   12.03551  189.617893 -0.006495 -0.014681   0.0036
176  2016-05-15 10:54:00   10.37143  164.749229  0.002293 -0.007003   0.0063
177  2016-05-15 11:41:00   0.688196  334.611134  0.001081 -0.010689    0.002
178  2016-05-15 12:40:00  26.582699  135.608708  0.001416 -0.006731   0.0007
179  2016-05-15 15:14:00 -37.779038  274.573932  0.002824 -0.003331   0.0018
180  2016-05-15 16:55:00 -35.539328  250.015386  0.003604 -0.002462    0.004
181  2016-05-15 17:41:00  20.644247   61.359305  0.003665 -0.004009  -0.0008
182  2016-05-15 18:37:00 -39.840095    223.4147 -0.003845 -0.008327    0.001
183  2016-05-15 20:10:00 -12.588561  205.403979 -0.003838 -0.016737  -0.0041
184  2016-05-15 21:51:00 -11.872208  180.321517   0.00431 -0.008515   0.0001
185  2016-05-15 22:48:00   33.95842   342.10153 -0.006888  -0.01155   -0.004
186  2016-05-15 23:29:00  -1.113697  157.484448  0.002565 -0.011846  -0.0021
187  2016-05-16 00:24:00   16.46717  321.370801  0.000414 -0.004374   0.0028
188  2016-05-16 01:12:00 -10.673935  130.101051  0.003838 -0.005782   0.0058
189  2016-05-16 03:47:00  21.162801  269.754588 -0.003106 -0.008477  -0.0017
190  2016-05-16 04:46:00 -52.102251   67.109316  -0.00601 -0.010562  -0.0052
191  2016-05-16 05:26:00  13.709864  246.274242  0.004005 -0.005062  -0.0039
192  2016-05-16 06:27:00 -51.625172   42.088653 -0.003457 -0.007726   0.0018
193  2016-05-16 07:07:00  14.403071   220.86684  0.009162 -0.000904   0.0038
194  2016-05-16 08:48:00  12.973737  195.948944   0.00284 -0.004136   0.0125
195  2016-05-16 09:48:00 -49.584838  352.517972 -0.007772 -0.011703  -0.0055
196  2016-05-16 10:28:00  10.245856  171.323418 -0.001535 -0.008894  -0.0021
197  2016-05-16 11:20:00 -16.547789  337.266034  0.003326 -0.008726  -0.0018
198  2016-05-16 12:08:00   7.636552  146.664369  0.013131  0.005464   0.0129
199  2016-05-16 12:56:00   0.171186  315.795927  0.003829 -0.010008  -0.0016
200  2016-05-16 14:50:00  -43.47946  279.200981  0.001001 -0.003931   0.0019
201  2016-05-16 16:30:00 -40.203146   255.08932 -0.006888 -0.011781  -0.0026
202  2016-05-16 17:15:00  22.230521   67.516269   0.00081 -0.006664  -0.0009
203  2016-05-16 18:13:00 -47.959248  226.976932 -0.003346 -0.007723  -0.0001
204  2016-05-16 19:46:00 -19.891928  210.234472  0.002875 -0.007739   0.0064
205  2016-05-16 21:24:00  -9.443506  187.418258  0.002794  -0.01221    0.002
206  2016-05-16 22:23:00  40.505485  346.606556 -0.008161 -0.013919  -0.0054
207  2016-05-16 23:02:00   0.490716  164.385539  0.001505 -0.014383  -0.0015
208  2016-05-16 23:58:00  16.931418  327.807277  0.001798 -0.002147   0.0079
209  2016-05-17 00:46:00  -9.840605  136.835512 -0.000273 -0.008884   0.0069
