# RADS_ASC
# Created: 2024-06-03 09:30:31 UTC: rads2asc -S c2 -V time,lat,lon,sla -o c2_240212_noiono.asc --ymd 240212,240213 -X no_iono.xml
# Satellite = CRYOSAT2
# Phase     = a
# Cycle     = 179
# Pass      = 0441
# Equ_time  = 1234330521.478142 (2024-02-12 05:35:21.478142)
# Equ_lon   =  -53.000000
# Original  = CS_OFFL_SIR_GOP_2__20240212T051031_20240212T060007_C001.nc (TAI=2024-02-12T06:00:43.774297)
# Col  1    = time [seconds since 1985-01-01 00:00:00 UTC]
# Col  2    = latitude [degrees_north]
# Col  3    = longitude [degrees_east]
# Col  4    = sea level anomaly [m]
1234329555.706810 -58.443936 -147.803828  -0.0986
1234329556.650247 -58.387290 -147.815045  -0.0727
1234329557.593684 -58.330642 -147.826238  -0.1199
1234329558.537122 -58.273994 -147.837408  -0.0965
1234329559.480558 -58.217344 -147.848556  -0.1028
1234329560.423995 -58.160694 -147.859680  -0.1332
1234329561.367432 -58.104042 -147.870781  -0.1154
1234329562.310869 -58.047389 -147.881860  -0.0689
1234329563.254306 -57.990734 -147.892917  -0.0597
1234329564.197743 -57.934079 -147.903951  -0.0812
1234329565.141180 -57.877423 -147.914962  -0.0670
1234329566.084617 -57.820765 -147.925952  -0.0912
1234329567.028054 -57.764106 -147.936919  -0.0504
1234329567.971491 -57.707446 -147.947865  -0.0286
1234329568.914928 -57.650785 -147.958789  -0.0595
1234329569.858365 -57.594123 -147.969691  -0.0243
1234329570.801802 -57.537460 -147.980571  -0.0205
1234329571.745239 -57.480796 -147.991431  -0.0408
1234329572.688676 -57.424130 -148.002268  -0.0839
1234329573.632113 -57.367464 -148.013085  -0.0175
1234329574.575550 -57.310796 -148.023880  -0.0582
1234329575.518987 -57.254127 -148.034655  -0.0999
1234329576.462424 -57.197457 -148.045408  -0.0854
1234329577.405862 -57.140786 -148.056141  -0.0936
1234329578.349299 -57.084114 -148.066853  -0.1345
1234329579.292736 -57.027441 -148.077544  -0.1419
1234329580.236173 -56.970766 -148.088215  -0.1783
1234329581.179609 -56.914091 -148.098866  -0.2142
1234329582.123047 -56.857414 -148.109496  -0.2723
1234329583.066484 -56.800737 -148.120106  -0.2748
1234329584.009921 -56.744058 -148.130696  -0.3038
1234329584.953358 -56.687378 -148.141267  -0.3216
1234329585.896794 -56.630697 -148.151817  -0.2588
1234329586.840231 -56.574015 -148.162347  -0.2696
1234329587.783669 -56.517331 -148.172858  -0.2780
1234329588.727106 -56.460647 -148.183350  -0.2337
1234329589.670543 -56.403962 -148.193822  -0.1944
1234329590.613979 -56.347275 -148.204274  -0.1594
1234329591.557416 -56.290588 -148.214708  -0.0850
1234329592.500853 -56.233899 -148.225122  -0.0924
1234329593.444291 -56.177209 -148.235517  -0.0058
1234329594.387728 -56.120518 -148.245893  -0.0005
1234329595.331164 -56.063826 -148.256251   0.0245
1234329596.274601 -56.007133 -148.266589   0.0065
1234329597.218038 -55.950439 -148.276909   0.0425
1234329598.161475 -55.893744 -148.287210   0.0339
1234329599.104913 -55.837047 -148.297493   0.0242
1234329600.048349 -55.780350 -148.307758  -0.0090
1234329600.991786 -55.723651 -148.318004   0.0049
1234329601.935223 -55.666952 -148.328232   0.0174
1234329602.878660 -55.610251 -148.338442  -0.0249
1234329603.822097 -55.553549 -148.348634  -0.0229
1234329604.765535 -55.496846 -148.358807  -0.0872
1234329605.708971 -55.440143 -148.368964  -0.0862
1234329606.652408 -55.383438 -148.379102  -0.1353
1234329607.595845 -55.326731 -148.389222  -0.1068
1234329608.539282 -55.270024 -148.399326  -0.1705
1234329609.482719 -55.213316 -148.409411  -0.2312
1234329610.426156 -55.156607 -148.419479  -0.2211
1234329611.369593 -55.099896 -148.429530  -0.2338
1234329612.313030 -55.043185 -148.439564  -0.2354
1234329613.256467 -54.986472 -148.449580  -0.2453
1234329614.199904 -54.929759 -148.459580  -0.2455
1234329615.143341 -54.873044 -148.469562  -0.2586
1234329616.086778 -54.816328 -148.479527  -0.2320
